FRAME,ANGRY,FEAR,SAD,NEUTRAL,HAPPY,SURPRISED
35,,,bce,,,d
36,,,bec,,,
37,,,bce,,,
38,,,ce,,b,d
39,,,e,,b,c
40,,,,,b,edc
41,,,,,b,ec
42,,,,,b,ec
43,,,c,,b,
44,,,c,,b,
45,,,b,,,dc
46,,,b,,c,
47,,,b,,,c
48,,,bc,,e,
49,,,bc,,e,
50,,,c,,eb,
51,,,bc,,e,
52,,,c,,eb,
53,,,d,,ebc,
54,,,dc,,eb,
55,,,d,,ebc,
56,,,,,ecb,d
57,,,,,ecb,d
58,,,d,,ebc,
59,,,d,,ebc,
60,,,d,,ebc,
61,,,d,,ebc,
62,,,d,,ebc,
63,,,dc,,eb,
64,,,d,,ebc,
65,,,dc,,eb,
66,,,dc,,be,
67,,,dc,,be,
68,,,edc,,b,
69,,,edc,,b,
70,,,bedc,,,
71,,,bcde,,,
72,,,bce,d,,
73,,,bce,d,,
74,,,de,,b,c
75,,,bdc,,e,
76,,,bdc,,e,
77,,,bdc,,e,
78,,,bc,,e,
79,,,bc,,e,d
80,e,,bdc,,,
81,,,bdce,,,
82,,,bdce,,,
83,,,bc,,e,d
84,,,b,,e,dc
85,,,b,,e,dc
86,,,bc,,e,d
87,,,bdc,,e,
88,,,bdc,,e,
89,,,d,,be,c
90,,,dc,,be,
91,,,b,,e,dc
92,,,b,,e,dc
93,,,b,,e,dc
94,,,b,,e,dc
95,,,dbc,,e,
96,,,bc,,e,d
97,,,bc,,e,d
98,,,bc,,e,d
99,,,dbc,,e,
100,,,bc,,e,d
101,,,bc,,e,d
102,,,bc,,e,d
103,,,bdc,,e,
104,,,bc,,e,d
105,,,bdc,,e,
106,,,bc,,e,d
107,,,bc,d,e,
108,,,bc,d,e,
109,,,dbc,,e,
110,,,bc,d,e,
111,,,be,d,,c
112,,,bd,,e,c
113,,,bcd,,e,
114,,,dbc,,e,
115,,,bcd,,e,
116,,,bcd,,e,
117,,,bcd,,e,
118,,,bd,,e,c
119,,,bcd,,e,
120,,,bcd,,e,
121,,,cdb,,e,
122,,,bcd,,e,
123,,,bd,,e,c
124,,,bd,,e,c
125,,,bd,,e,c
126,,,db,,e,c
127,,,db,,e,b
128,,,bd,,e,c
129,,,b,,ce,d
130,,,bd,,ce,
131,,,bd,,ce,
132,,,bd,,be,
133,,,bcd,,e,
134,,,bd,,ce,
135,,,bd,,e,c
136,,,b,,e,cd
137,,,b,,e,dc
138,,,b,d,e,c
139,,,bd,,e,c
140,,,bdc,,e,
141,,,bc,,e,d
142,,,bdc,,e,
143,,,b,,e,dc
144,,,bc,,e,d
145,,,bc,,e,d
146,,,bc,,e,d
147,,,bdc,,e,
148,,,bc,,e,d
149,,,bc,,e,d
150,,,dbc,,e,
151,,,bdc,,e,
152,,,bdc,,e,
153,,,dbc,,e,
154,,,bdc,,e,
155,,,bdc,,e,
156,,,bdc,,e,
157,,,bdc,,e,
158,,,dbc,,e,
159,,,bdc,,e,
160,,,bdc,,e,
161,,,bd,c,e,
162,,,bd,c,e,
163,,,b,c,e,d
164,,,b,c,e,d
165,,,b,c,e,d
166,,,bd,c,e,
167,,,bd,c,e,
168,,,bd,c,e,
169,,,bd,c,e,
170,,,bd,c,e,
171,,,b,dc,e,
172,,,b,c,e,d
173,,,b,c,e,d
174,,,bd,c,e,
175,,,bd,c,e,
176,,,bd,c,e,
177,,,bd,c,e,
178,,,bd,c,e,
179,,,bd,c,e,
180,,,bdc,,e,
181,,,bd,c,e,
182,,,b,cd,e,
183,,,bc,,e,d
184,,,bd,c,e,
185,,,dbc,,e,
186,,,cb,d,e,
187,,,cbd,,e,
188,,,cd,,eb,
189,,,cb,d,e,
190,,,c,,ce,
191,,,bc,,,
192,,,bc,,,
193,,,b,,,c
194,,,cb,,,
195,,,c,,,
196,,,cb,,,
197,,,cb,,,
198,,,cb,,,
199,,,,,c,
200,,,b,,c,
201,,,b,,c,
202,,,b,,c,
203,,,b,,c,
204,,,,,c,
205,,,b,,c,
206,,,c,,,
207,,,c,,,
208,,,c,,,
209,,,c,,b,
210,,,c,,b,
211,,,cb,,,
212,,,cb,,,
213,,,c,,b,
214,,,c,,b,
215,,,b,,,c
216,,,b,,,c
217,,,c,,b,
218,,,c,,b,
219,,,,,b,c
220,,,,,b,c
221,,,,,b,c
222,,,,,b,c
223,,,,,b,c
224,,,c,,b,
225,,,c,,b,
226,,,bc,,,
227,,,b,,,c
228,,,bc,,,
229,,,bc,,,
230,,,bc,,,
231,,,c,,b,
232,,,c,,b,
233,,,bc,,,
234,,,bc,,,
235,,,,,bc,
236,,,,,b,c
237,,,,,b,c
238,,,cb,,,
239,,,c,,b,
240,,,,,b,c
241,,,b,,c,
242,,,b,,c,
243,,,bc,,,
244,,,cb,,,
245,,,b,,c,
246,,,b,,c,
247,,,b,,c,
248,,,b,,c,
249,,,b,,c,
250,,,b,,c,
251,,,b,,c,
252,,,b,,c,
253,,,b,,c,
254,,,cb,,,
